district,num_schools,num_ES,num_MS,num_HS,num_K2,num_K3,num_K8,num_HST,num_YABC,total_overall_A,total_overall_B,total_overall_C,total_overall_D,total_overall_F,total_overall_NA,total_env_A,total_env_B,total_env_C,total_env_D,total_env_F,total_env_NA,total_perf_A,total_perf_B,total_perf_C,total_perf_D,total_perf_F,total_perf_NA,total_prog_A,total_prog_B,total_prog_C,total_prog_D,total_prog_F,total_prog_NA,relative_overall_A,relative_overall_B,relative_overall_C,relative_overall_D,relative_overall_F,relative_overall_NA,relative_env_A,relative_env_B,relative_env_C,relative_env_D,relative_env_F,relative_env_NA,relative_perf_A,relative_perf_B,relative_perf_C,relative_perf_D,relative_perf_F,relative_perf_NA,relative_prog_A,relative_prog_B,relative_prog_C,relative_prog_D,relative_prog_F,relative_prog_NA
24,48,21,8,13,1,1,2,1,1,23,15,7,1,0,2,21,16,7,1,1,2,8,15,13,8,2,2,19,19,5,2,1,2,0.4791666666666667,0.3125,0.14583333333333334,0.020833333333333332,0.0,0.041666666666666664,0.4375,0.3333333333333333,0.14583333333333334,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.16666666666666666,0.3125,0.2708333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.3958333333333333,0.3958333333333333,0.10416666666666667,0.041666666666666664,0.020833333333333332,0.041666666666666664
21,44,14,8,12,0,0,8,1,1,14,16,9,1,0,4,14,17,5,2,2,4,4,11,16,5,4,4,13,15,11,1,0,4,0.3181818181818182,0.36363636363636365,0.20454545454545456,0.022727272727272728,0.0,0.09090909090909091,0.3181818181818182,0.38636363636363635,0.11363636363636363,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.25,0.36363636363636365,0.11363636363636363,0.09090909090909091,0.09090909090909091,0.29545454545454547,0.3409090909090909,0.25,0.022727272727272728,0.0,0.09090909090909091
22,38,22,7,5,1,0,3,0,0,10,13,14,1,0,0,20,11,6,1,0,0,3,9,14,10,2,0,10,12,11,5,0,0,0.2631578947368421,0.34210526315789475,0.3684210526315789,0.02631578947368421,0.0,0.0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,0.0,0.0,0.07894736842105263,0.23684210526315788,0.3684210526315789,0.2631578947368421,0.05263157894736842,0.0,0.2631578947368421,0.3157894736842105,0.2894736842105263,0.13157894736842105,0.0,0.0
23,29,2,7,4,0,0,13,3,0,3,5,14,4,2,1,4,10,4,7,3,1,3,2,5,11,7,1,3,7,10,5,3,1,0.10344827586206896,0.1724137931034483,0.4827586206896552,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.13793103448275862,0.3448275862068966,0.13793103448275862,0.2413793103448276,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.1724137931034483,0.3793103448275862,0.2413793103448276,0.034482758620689655,0.10344827586206896,0.2413793103448276,0.3448275862068966,0.1724137931034483,0.10344827586206896,0.034482758620689655
25,46,19,10,8,0,2,4,2,1,23,13,8,1,0,1,16,13,7,8,1,1,6,19,10,8,2,1,19,17,6,2,1,1,0.5,0.2826086956521739,0.17391304347826086,0.021739130434782608,0.0,0.021739130434782608,0.34782608695652173,0.2826086956521739,0.15217391304347827,0.17391304347826086,0.021739130434782608,0.021739130434782608,0.13043478260869565,0.41304347826086957,0.21739130434782608,0.17391304347826086,0.043478260869565216,0.021739130434782608,0.41304347826086957,0.3695652173913043,0.13043478260869565,0.043478260869565216,0.021739130434782608,0.021739130434782608
26,31,19,5,5,0,0,2,0,0,16,14,1,0,0,0,15,10,4,1,1,0,10,18,3,0,0,0,13,14,4,0,0,0,0.5161290322580645,0.45161290322580644,0.03225806451612903,0.0,0.0,0.0,0.4838709677419355,0.3225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.3225806451612903,0.5806451612903226,0.0967741935483871,0.0,0.0,0.0,0.41935483870967744,0.45161290322580644,0.12903225806451613,0.0,0.0,0.0
27,59,22,11,12,0,1,12,0,1,14,15,18,2,1,9,12,20,11,6,1,9,5,10,18,9,8,9,15,15,14,3,3,9,0.23728813559322035,0.2542372881355932,0.3050847457627119,0.03389830508474576,0.01694915254237288,0.15254237288135594,0.2033898305084746,0.3389830508474576,0.1864406779661017,0.1016949152542373,0.01694915254237288,0.15254237288135594,0.0847457627118644,0.1694915254237288,0.3050847457627119,0.15254237288135594,0.13559322033898305,0.15254237288135594,0.2542372881355932,0.2542372881355932,0.23728813559322035,0.05084745762711865,0.05084745762711865,0.15254237288135594
28,44,23,8,12,1,0,0,0,0,10,13,12,4,0,5,5,13,14,5,2,5,4,10,10,10,5,5,10,16,13,0,0,5,0.22727272727272727,0.29545454545454547,0.2727272727272727,0.09090909090909091,0.0,0.11363636363636363,0.11363636363636363,0.29545454545454547,0.3181818181818182,0.11363636363636363,0.045454545454545456,0.11363636363636363,0.09090909090909091,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.11363636363636363,0.11363636363636363,0.22727272727272727,0.36363636363636365,0.29545454545454547,0.0,0.0,0.11363636363636363
29,43,18,7,9,0,1,8,0,0,5,11,20,7,0,0,10,15,8,5,5,0,3,7,12,14,7,0,6,11,8,11,7,0,0.11627906976744186,0.2558139534883721,0.46511627906976744,0.16279069767441862,0.0,0.0,0.23255813953488372,0.3488372093023256,0.18604651162790697,0.11627906976744186,0.11627906976744186,0.0,0.06976744186046512,0.16279069767441862,0.27906976744186046,0.32558139534883723,0.16279069767441862,0.0,0.13953488372093023,0.2558139534883721,0.18604651162790697,0.2558139534883721,0.16279069767441862,0.0
30,44,19,10,9,2,0,4,0,0,20,12,10,0,0,2,15,18,5,4,0,2,8,9,16,6,3,2,16,16,7,2,1,2,0.45454545454545453,0.2727272727272727,0.22727272727272727,0.0,0.0,0.045454545454545456,0.3409090909090909,0.4090909090909091,0.11363636363636363,0.09090909090909091,0.0,0.045454545454545456,0.18181818181818182,0.20454545454545456,0.36363636363636365,0.13636363636363635,0.06818181818181818,0.045454545454545456,0.36363636363636365,0.36363636363636365,0.1590909090909091,0.045454545454545456,0.022727272727272728,0.045454545454545456
31,66,41,12,10,0,0,1,1,1,11,21,31,1,0,2,16,22,17,6,3,2,8,10,17,18,11,2,9,24,15,7,9,2,0.16666666666666666,0.3181818181818182,0.4696969696969697,0.015151515151515152,0.0,0.030303030303030304,0.24242424242424243,0.3333333333333333,0.25757575757575757,0.09090909090909091,0.045454545454545456,0.030303030303030304,0.12121212121212122,0.15151515151515152,0.25757575757575757,0.2727272727272727,0.16666666666666666,0.030303030303030304,0.13636363636363635,0.36363636363636365,0.22727272727272727,0.10606060606060606,0.13636363636363635,0.030303030303030304
32,27,11,7,6,0,0,2,1,0,7,8,12,0,0,0,10,8,4,5,0,0,2,3,13,6,3,0,8,9,6,3,1,0,0.25925925925925924,0.2962962962962963,0.4444444444444444,0.0,0.0,0.0,0.37037037037037035,0.2962962962962963,0.14814814814814814,0.18518518518518517,0.0,0.0,0.07407407407407407,0.1111111111111111,0.48148148148148145,0.2222222222222222,0.1111111111111111,0.0,0.2962962962962963,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.0
75,28,10,9,0,0,0,9,0,0,7,9,6,4,2,0,9,5,5,4,5,0,1,3,5,7,12,0,5,9,7,5,2,0,0.25,0.32142857142857145,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.32142857142857145,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.25,0.42857142857142855,0.0,0.17857142857142858,0.32142857142857145,0.25,0.17857142857142858,0.07142857142857142,0.0
79,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
84,93,27,22,22,0,3,18,1,0,14,18,27,6,1,27,47,15,1,1,2,27,13,18,16,12,7,27,12,16,14,8,16,27,0.15053763440860216,0.1935483870967742,0.2903225806451613,0.06451612903225806,0.010752688172043012,0.2903225806451613,0.5053763440860215,0.16129032258064516,0.010752688172043012,0.010752688172043012,0.021505376344086023,0.2903225806451613,0.13978494623655913,0.1935483870967742,0.17204301075268819,0.12903225806451613,0.07526881720430108,0.2903225806451613,0.12903225806451613,0.17204301075268819,0.15053763440860216,0.08602150537634409,0.17204301075268819,0.2903225806451613
